"FECHA","HORA","TOTAL"
01/01/16,1,1623.65
01/01/16,2,1395.01
01/01/16,3,1047.04
01/01/16,4,692.34
01/01/16,5,449.17
01/01/16,6,633.15
01/01/16,7,693.02
01/01/16,8,422.65
01/01/16,9,845.65
01/01/16,10,693.25
01/01/16,11,885.42
01/01/16,12,1306.49
01/01/16,13,1038.95
01/01/16,14,989.05
01/01/16,15,802.56
01/01/16,16,680.77
01/01/16,17,695.01
01/01/16,18,1133.32
01/01/16,19,1954.56
01/01/16,20,2140.75
01/01/16,21,2240.18
01/01/16,22,2245.65
01/01/16,23,2026.26
01/01/16,24,1532.38
02/01/16,1,1257.72
02/01/16,2,1128
02/01/16,3,967.44
02/01/16,4,835.73
02/01/16,5,650.76
02/01/16,6,586.2
02/01/16,7,668.82
02/01/16,8,498.76
02/01/16,9,1055.88
02/01/16,10,1145.48
02/01/16,11,1009.14
02/01/16,12,1178.95
02/01/16,13,1229.32
02/01/16,14,1315.13
02/01/16,15,1197.66
02/01/16,16,1093.25
02/01/16,17,1124.8
02/01/16,18,1285.21
02/01/16,19,2933.67
02/01/16,20,3305.65
02/01/16,21,2526.89
02/01/16,22,2474.69
02/01/16,23,2296.96
02/01/16,24,1522.94
03/01/16,1,1258.65
03/01/16,2,1001.27
03/01/16,3,1037.44
03/01/16,4,767.69
03/01/16,5,675.65
03/01/16,6,676.12
03/01/16,7,896.36
03/01/16,8,863.38
03/01/16,9,866.97
03/01/16,10,675.6
03/01/16,11,890.31
03/01/16,12,991.3
03/01/16,13,1046.23
03/01/16,14,846.17
03/01/16,15,740.47
03/01/16,16,768.6
03/01/16,17,739.82
03/01/16,18,969.53
03/01/16,19,2080.98
03/01/16,20,3583.45
03/01/16,21,3500.32
03/01/16,22,2954.3
03/01/16,23,2357.61
03/01/16,24,1525.48
04/01/16,1,1226.41
04/01/16,2,1225.46
04/01/16,3,1123.37
04/01/16,4,1106.1
04/01/16,5,931.32
04/01/16,6,933.22
04/01/16,7,1225.39
04/01/16,8,1496.75
04/01/16,9,1587.3
04/01/16,10,1789.92
04/01/16,11,1911.19
04/01/16,12,2330.27
04/01/16,13,2057.31
04/01/16,14,1655.33
04/01/16,15,1276.7
04/01/16,16,979.73
04/01/16,17,908.05
04/01/16,18,787.65
04/01/16,19,1430.29
04/01/16,20,2166.14
04/01/16,21,1830.77
04/01/16,22,1748.42
04/01/16,23,1440.5
04/01/16,24,1401.95
05/01/16,1,1367.93
05/01/16,2,1234.46
05/01/16,3,886.5
05/01/16,4,915.4
05/01/16,5,892.09
05/01/16,6,683.27
05/01/16,7,1289.27
05/01/16,8,1607.07
05/01/16,9,1355.7
05/01/16,10,1409.65
05/01/16,11,1425.62
05/01/16,12,1438.22
05/01/16,13,1382.9
05/01/16,14,1493.25
05/01/16,15,1307.25
05/01/16,16,1422.37
05/01/16,17,1558.57
05/01/16,18,1500.97
05/01/16,19,2164.37
05/01/16,20,3197.8
05/01/16,21,2746.78
05/01/16,22,2140.07
05/01/16,23,1846.61
05/01/16,24,1511.39
06/01/16,1,975.29
06/01/16,2,832.6
06/01/16,3,831.38
06/01/16,4,805.53
06/01/16,5,934.68
06/01/16,6,931.97
06/01/16,7,1112.77
06/01/16,8,1290.35
06/01/16,9,910.73
06/01/16,10,782.95
06/01/16,11,971.31
06/01/16,12,1457.87
06/01/16,13,1552.7
06/01/16,14,1757.34
06/01/16,15,1866.65
06/01/16,16,1831.54
06/01/16,17,1660.95
06/01/16,18,1623.18
06/01/16,19,2223.32
06/01/16,20,3309.98
06/01/16,21,2988.85
06/01/16,22,2135.67
06/01/16,23,1319.52
06/01/16,24,1088.52
07/01/16,1,989.59
07/01/16,2,810.58
07/01/16,3,825.99
07/01/16,4,818.96
07/01/16,5,843.8
07/01/16,6,951.58
07/01/16,7,1020.82
07/01/16,8,1143.47
07/01/16,9,1066.27
07/01/16,10,1753.64
07/01/16,11,2199.81
07/01/16,12,2344.88
07/01/16,13,2327.54
07/01/16,14,2097.85
07/01/16,15,2190.61
07/01/16,16,2353.88
07/01/16,17,2377.55
07/01/16,18,2319.74
07/01/16,19,3332.23
07/01/16,20,4433.2
07/01/16,21,3932.96
07/01/16,22,3187.52
07/01/16,23,2302.51
07/01/16,24,1817.5
08/01/16,1,1672.65
08/01/16,2,1055.74
08/01/16,3,809.61
08/01/16,4,684.12
08/01/16,5,574.25
08/01/16,6,848.85
08/01/16,7,1244.76
08/01/16,8,1183.82
08/01/16,9,1528.08
08/01/16,10,1773.63
08/01/16,11,2017.35
08/01/16,12,2208.42
08/01/16,13,2598.31
08/01/16,14,2581.84
08/01/16,15,2296.14
08/01/16,16,2125.44
08/01/16,17,2172.16
08/01/16,18,1879.49
08/01/16,19,2447.02
08/01/16,20,3693.97
08/01/16,21,3276.76
08/01/16,22,2304.6
08/01/16,23,1391.95
08/01/16,24,1557.71
09/01/16,1,1504.47
09/01/16,2,1294.57
09/01/16,3,1039.75
09/01/16,4,1127.39
09/01/16,5,1087.09
09/01/16,6,1262.73
09/01/16,7,1366.4
09/01/16,8,1430.01
09/01/16,9,1701.07
09/01/16,10,1910.57
09/01/16,11,1833.05
09/01/16,12,2032.09
09/01/16,13,2181.02
09/01/16,14,2241.6
09/01/16,15,1842.51
09/01/16,16,1662.91
09/01/16,17,1415.45
09/01/16,18,1645.49
09/01/16,19,3035.49
09/01/16,20,3533.1
09/01/16,21,2793.74
09/01/16,22,2260.19
09/01/16,23,1909.58
09/01/16,24,1278.82
10/01/16,1,1242.28
10/01/16,2,765.41
10/01/16,3,770.75
10/01/16,4,546.51
10/01/16,5,491.16
10/01/16,6,476.34
10/01/16,7,565.37
10/01/16,8,779.65
10/01/16,9,846.99
10/01/16,10,1189.92
10/01/16,11,1283.91
10/01/16,12,1289.2
10/01/16,13,615.84
10/01/16,14,610.93
10/01/16,15,611.49
10/01/16,16,613.11
10/01/16,17,746.58
10/01/16,18,939.74
10/01/16,19,1785.72
10/01/16,20,2345.13
10/01/16,21,2606.09
10/01/16,22,2557.69
10/01/16,23,1709.58
10/01/16,24,1190.72
11/01/16,1,809.63
11/01/16,2,584.55
11/01/16,3,544.82
11/01/16,4,605.1
11/01/16,5,598.48
11/01/16,6,774.62
11/01/16,7,1356.28
11/01/16,8,1718.55
11/01/16,9,1597.96
11/01/16,10,1375.86
11/01/16,11,1171.8
11/01/16,12,1192.02
11/01/16,13,1440.02
11/01/16,14,1417.69
11/01/16,15,1597.19
11/01/16,16,1872.46
11/01/16,17,2147.86
11/01/16,18,1883.79
11/01/16,19,2206.79
11/01/16,20,3032.09
11/01/16,21,2813.5
11/01/16,22,2002.36
11/01/16,23,1516.89
11/01/16,24,1267.65
12/01/16,1,1038.84
12/01/16,2,620.46
12/01/16,3,544.32
12/01/16,4,609.96
12/01/16,5,593.09
12/01/16,6,846.26
12/01/16,7,911.06
12/01/16,8,1212.31
12/01/16,9,1002.6
12/01/16,10,876.24
12/01/16,11,1148.71
12/01/16,12,1215.41
12/01/16,13,1331.1
12/01/16,14,1380.15
12/01/16,15,1218.16
12/01/16,16,1219.54
12/01/16,17,1250.01
12/01/16,18,1264.8
12/01/16,19,1834.06
12/01/16,20,2839.97
12/01/16,21,2789.59
12/01/16,22,2298.25
12/01/16,23,1809.96
12/01/16,24,1619.45
13/01/16,1,1297.73
13/01/16,2,842.33
13/01/16,3,522.49
13/01/16,4,506.43
13/01/16,5,555.58
13/01/16,6,954.59
13/01/16,7,1241.1
13/01/16,8,1747.7
13/01/16,9,1316.08
13/01/16,10,1259.88
13/01/16,11,1484.82
13/01/16,12,1710.53
13/01/16,13,1901.55
13/01/16,14,1968.4
13/01/16,15,1872.17
13/01/16,16,1911.61
13/01/16,17,1974.41
13/01/16,18,1954.43
13/01/16,19,2351.35
13/01/16,20,3185.06
13/01/16,21,2950.81
13/01/16,22,2205.7
13/01/16,23,1982.03
13/01/16,24,1716.28
14/01/16,1,1258.01
14/01/16,2,1023.44
14/01/16,3,570.59
14/01/16,4,681.64
14/01/16,5,793.67
14/01/16,6,748.24
14/01/16,7,1162.26
14/01/16,8,1669.35
14/01/16,9,1912.5
14/01/16,10,2536.84
14/01/16,11,3171.31
14/01/16,12,3724.83
14/01/16,13,3799.35
14/01/16,14,3530.32
14/01/16,15,3109.19
14/01/16,16,3208.07
14/01/16,17,3642.27
14/01/16,18,3525.22
14/01/16,19,4435.29
14/01/16,20,5893.62
14/01/16,21,5578.64
14/01/16,22,4358.1
14/01/16,23,3100.05
14/01/16,24,1756.15
15/01/16,1,1031.13
15/01/16,2,756.71
15/01/16,3,605.5
15/01/16,4,671.89
15/01/16,5,760.44
15/01/16,6,912.8
15/01/16,7,1408.26
15/01/16,8,1797.55
15/01/16,9,2255.7
15/01/16,10,2824.98
15/01/16,11,3186.07
15/01/16,12,3459.2
15/01/16,13,3555.18
15/01/16,14,3679.85
15/01/16,15,3801.49
15/01/16,16,3925.88
15/01/16,17,3853.23
15/01/16,18,3754.06
15/01/16,19,4094.34
15/01/16,20,5331.61
15/01/16,21,4807.6
15/01/16,22,3565.4
15/01/16,23,2693.56
15/01/16,24,2122.06
16/01/16,1,1240.7
16/01/16,2,1214.41
16/01/16,3,1075.29
16/01/16,4,954.49
16/01/16,5,843.87
16/01/16,6,765.47
16/01/16,7,1169.06
16/01/16,8,1520.03
16/01/16,9,2128.92
16/01/16,10,3254.49
16/01/16,11,3809.59
